year,month,day,u1060S
1979,1,1,1.4787273
1979,1,2,1.3379259
1979,1,3,1.6005392
1979,1,4,1.8695984
1979,1,5,1.5970755
1979,1,6,1.2281399
1979,1,7,1.1612444
1979,1,8,1.3338871
1979,1,9,1.3729858
1979,1,10,1.1200123
1979,1,11,0.99340343
1979,1,12,0.8400841
1979,1,13,0.69190884
1979,1,14,0.87108517
1979,1,15,0.83069324
1979,1,16,0.8983879
1979,1,17,1.3967628
1979,1,18,1.5889425
1979,1,19,1.4570131
1979,1,20,1.3072424
1979,1,21,1.6008329
1979,1,22,2.3336382
1979,1,23,2.4496517
1979,1,24,2.2018619
1979,1,25,1.9275131
1979,1,26,1.6999769
1979,1,27,1.6857433
1979,1,28,1.2920632
1979,1,29,0.9636555
1979,1,30,1.2053366
1979,1,31,1.6726103
1979,2,1,2.2297387
1979,2,2,2.457852
1979,2,3,2.410972
1979,2,4,2.3759732
1979,2,5,2.3405905
1979,2,6,2.066371
1979,2,7,1.58809
1979,2,8,0.87884927
1979,2,9,0.3715403
1979,2,10,0.22070932
1979,2,11,-0.056129694
1979,2,12,-0.21568596
1979,2,13,0.037914753
1979,2,14,-0.32834786
1979,2,15,-0.5917078
1979,2,16,-0.09801136
1979,2,17,-0.16974062
1979,2,18,-0.18386829
1979,2,19,0.07234597
1979,2,20,-0.15071547
1979,2,21,-0.080361366
1979,2,22,-0.06613517
1979,2,23,0.19571161
1979,2,24,0.23440957
1979,2,25,0.4528308
1979,2,26,0.05674362
1979,2,27,-0.116447926
1979,2,28,0.0026240349
1979,3,1,-0.25507784
1979,3,2,-0.2068758
1979,3,3,0.36163807
1979,3,4,1.0261178
1979,3,5,1.5514355
1979,3,6,1.9502935
1979,3,7,2.0478554
1979,3,8,1.7022381
1979,3,9,1.44421
1979,3,10,1.5922012
1979,3,11,1.4120007
1979,3,12,1.0430841
1979,3,13,1.6750736
1979,3,14,2.2907648
1979,3,15,3.2721071
1979,3,16,3.868497
1979,3,17,4.1611834
1979,3,18,4.041128
1979,3,19,3.8970995
1979,3,20,3.2894125
1979,3,21,2.9982157
1979,3,22,3.4211655
1979,3,23,3.3019352
1979,3,24,2.7952995
1979,3,25,3.0185375
1979,3,26,4.1616077
1979,3,27,5.0864105
1979,3,28,4.7819786
1979,3,29,4.7851105
1979,3,30,5.0275
1979,3,31,4.7393074
1979,4,1,3.6512566
1979,4,2,2.8104
1979,4,3,2.4496918
1979,4,4,2.7415466
1979,4,5,2.7567673
1979,4,6,1.7848186
1979,4,7,0.9123554
1979,4,8,1.6397381
1979,4,9,1.9584885
1979,4,10,1.2291679
1979,4,11,1.7586288
1979,4,12,3.3009605
1979,4,13,5.0823784
1979,4,14,5.570141
1979,4,15,5.359886
1979,4,16,5.1883354
1979,4,17,4.1915207
1979,4,18,3.1100311
1979,4,19,2.5671577
1979,4,20,1.8378029
1979,4,21,0.8281059
1979,4,22,0.86821365
1979,4,23,0.92863464
1979,4,24,0.62472916
1979,4,25,-0.92952347
1979,4,26,-3.2384262
1979,4,27,-4.7009354
1979,4,28,-5.1473274
1979,4,29,-5.2461853
1979,4,30,-5.040489
1979,5,1,-3.4179573
1979,5,2,-1.0746269
1979,5,3,0.14678574
1979,5,4,0.92064667
1979,5,5,1.6112251
1979,5,6,1.6119385
1979,5,7,1.1937866
1979,5,8,1.1411438
1979,5,9,0.37598038
1979,5,10,-0.4959793
1979,5,11,-0.51247025
1979,5,12,-0.303936
1979,5,13,0.37119675
1979,5,14,0.75834274
1979,5,15,1.9532356
1979,5,16,3.0100021
1979,5,17,3.5633926
1979,5,18,3.5305862
1979,5,19,3.3390388
1979,5,20,4.4173164
1979,5,21,3.6634026
1979,5,22,1.9896126
1979,5,23,0.96047974
1979,5,24,3.0374947
1979,5,25,5.0284386
1979,5,26,3.7800522
1979,5,27,2.9941368
1979,5,28,2.6479225
1979,5,29,1.7749786
1979,5,30,1.3779526
1979,5,31,2.7563248
1979,6,1,4.4549484
1979,6,2,5.6926003
1979,6,3,4.377537
1979,6,4,5.3061485
1979,6,5,7.1442947
1979,6,6,8.290886
1979,6,7,6.8974304
1979,6,8,6.1574287
1979,6,9,4.5191727
1979,6,10,3.777645
1979,6,11,4.3680687
1979,6,12,3.6492233
1979,6,13,2.8171692
1979,6,14,3.0505867
1979,6,15,4.258625
1979,6,16,4.9138794
1979,6,17,5.6393814
1979,6,18,6.027626
1979,6,19,5.3727264
1979,6,20,5.626129
1979,6,21,4.715744
1979,6,22,5.930458
1979,6,23,6.0675507
1979,6,24,4.966316
1979,6,25,4.304001
1979,6,26,4.085594
1979,6,27,4.343437
1979,6,28,3.125763
1979,6,29,-0.042152405
1979,6,30,-0.6439667
1979,7,1,2.6431808
1979,7,2,3.5633316
1979,7,3,3.598938
1979,7,4,5.2475204
1979,7,5,5.7271805
1979,7,6,6.206314
1979,7,7,7.8496323
1979,7,8,5.5294266
1979,7,9,3.2096405
1979,7,10,-0.5464859
1979,7,11,-0.49667358
1979,7,12,3.0189972
1979,7,13,1.3290405
1979,7,14,2.610405
1979,7,15,8.886932
1979,7,16,11.659889
1979,7,17,9.797485
1979,7,18,11.003853
1979,7,19,10.109283
1979,7,20,7.312088
1979,7,21,4.3558197
1979,7,22,4.842636
1979,7,23,5.5704727
1979,7,24,6.214737
1979,7,25,7.0153275
1979,7,26,7.6754837
1979,7,27,7.91877
1979,7,28,7.997986
1979,7,29,9.481483
1979,7,30,10.293541
1979,7,31,10.058418
1979,8,1,7.5585938
1979,8,2,6.003792
1979,8,3,5.4568787
1979,8,4,6.3595886
1979,8,5,5.011833
1979,8,6,5.523758
1979,8,7,5.530052
1979,8,8,6.5102386
1979,8,9,6.0327682
1979,8,10,4.9954834
1979,8,11,3.9495392
1979,8,12,4.5057907
1979,8,13,6.050308
1979,8,14,7.7260513
1979,8,15,8.042465
1979,8,16,6.3658905
1979,8,17,5.5994415
1979,8,18,6.5369186
1979,8,19,8.072189
1979,8,20,7.706131
1979,8,21,6.3718414
1979,8,22,6.4752884
1979,8,23,8.293816
1979,8,24,5.165329
1979,8,25,3.402916
1979,8,26,6.6453705
1979,8,27,6.8261566
1979,8,28,4.5781097
1979,8,29,3.2720642
1979,8,30,3.472847
1979,8,31,1.7387161
1979,9,1,3.2725601
1979,9,2,5.914673
1979,9,3,5.8601227
1979,9,4,7.190735
1979,9,5,6.513405
1979,9,6,6.920929
1979,9,7,7.070442
1979,9,8,9.037117
1979,9,9,10.5527725
1979,9,10,5.76812
1979,9,11,-0.48506927
1979,9,12,1.6627655
1979,9,13,1.6989746
1979,9,14,-1.1737442
1979,9,15,0.9048233
1979,9,16,7.2437744
1979,9,17,3.2772293
1979,9,18,-6.602066
1979,9,19,-4.5900497
1979,9,20,-5.085087
1979,9,21,-7.2671585
1979,9,22,-7.580654
1979,9,23,-5.7011604
1979,9,24,0.39683914
1979,9,25,3.5193138
1979,9,26,4.989746
1979,9,27,8.327557
1979,9,28,6.458393
