# Module for functions related to deceleration event analysis
# Algorithm used in Wu et al. (2022) to identify wind acceleration and deceleration events
# Level: 10 hPa, Mode: decel
# drop = -2 m/s per day, nxtevnt = 20 days, wdw = 10 days
# Climatology range: 1979-01-01 to 2020-12-31

date,drop_val
1984-10-03,-29.09
1990-10-04,-22.77
1991-09-21,-22.08
1992-09-02,-21.87
1997-11-02,-22.47
2000-09-22,-26.76
2002-08-11,-20.15
2002-08-21,-29.74
2002-09-20,-30.98
2003-09-23,-20.07
2003-10-02,-24.09
2005-09-19,-32.08
2007-09-17,-21.10
2008-10-11,-21.41
2016-09-07,-21.75
2019-09-04,-21.30
