# Description
# total column ozone 65-90S anomalies > True DU
# Must persist for at least 3 days to be event
# Events must be separated by >20 days
# MERRA2
Year,Month,Day
1980,6,5
1980,8,10
1981,4,20
1981,8,2
1982,8,14
1983,8,8
1984,2,29
1984,6,29
1984,8,17
1985,1,1
1985,6,12
1986,8,5
1987,6,22
1987,7,19
1987,12,2
1988,8,27
1989,2,14
1989,5,4
1989,6,24
1989,10,27
1990,8,31
1990,12,23
1991,2,28
1991,9,4
1991,10,24
1992,1,1
1992,8,27
1992,12,8
1993,2,3
1993,5,24
1993,11,26
1994,5,10
1994,11,12
1995,9,13
1995,11,24
1996,8,8
1996,9,14
1996,12,8
1997,8,16
1997,11,5
1998,6,21
1998,11,14
1998,12,14
1999,8,2
1999,12,6
2000,7,30
2001,8,7
2001,10,21
2001,12,22
2002,8,22
2003,10,6
2004,2,29
2004,8,16
2005,2,13
2005,4,12
2005,10,7
2005,11,8
2006,1,1
2006,12,16
2007,1,20
2007,3,26
2007,4,21
2007,9,19
2007,11,28
2007,12,25
2008,10,24
2009,1,10
2009,3,14
2009,4,17
2009,10,2
2010,3,18
2010,10,25
2010,12,21
2011,12,18
2012,5,24
2012,10,7
2013,1,30
2013,4,26
2013,10,2
2014,1,29
2014,3,21
2014,10,6
2015,12,22
2016,4,28
2016,9,8
2016,10,16
2017,5,11
2017,6,19
2017,8,21
2018,1,1
2018,4,20
2018,11,30
2019,9,4
2020,1,1
2020,12,27
