year,month,day,u1060S
1979,1,1,-2.4962125
1979,1,2,-2.2568285
1979,1,3,-1.2443079
1979,1,4,-0.65391916
1979,1,5,-1.0873647
1979,1,6,-1.3676466
1979,1,7,-1.3472669
1979,1,8,-1.3114629
1979,1,9,-1.7406642
1979,1,10,-2.1468146
1979,1,11,-2.3366766
1979,1,12,-2.6026523
1979,1,13,-2.439712
1979,1,14,-2.0420387
1979,1,15,-2.0084603
1979,1,16,-1.6505425
1979,1,17,-0.8093564
1979,1,18,-0.2506286
1979,1,19,-0.78169477
1979,1,20,-0.59006727
1979,1,21,1.0615951
1979,1,22,2.59612
1979,1,23,2.7500255
1979,1,24,2.2329438
1979,1,25,1.6737256
1979,1,26,1.4510381
1979,1,27,1.6468482
1979,1,28,1.4369869
1979,1,29,0.7528126
1979,1,30,1.1291285
1979,1,31,1.7959259
1979,2,1,1.9702001
1979,2,2,2.174828
1979,2,3,2.1967072
1979,2,4,2.0270252
1979,2,5,1.8428063
1979,2,6,1.930264
1979,2,7,1.9334521
1979,2,8,0.7797866
1979,2,9,0.12682581
1979,2,10,-0.082229614
1979,2,11,-0.92276573
1979,2,12,-1.4855971
1979,2,13,-1.0739069
1979,2,14,-1.5849352
1979,2,15,-1.7404075
1979,2,16,-0.4891324
1979,2,17,-0.5038285
1979,2,18,-0.6741538
1979,2,19,-0.24115372
1979,2,20,-0.17609215
1979,2,21,0.03404236
1979,2,22,0.30904102
1979,2,23,1.0548148
1979,2,24,1.6729822
1979,2,25,1.8284621
1979,2,26,0.84671783
1979,2,27,-0.25564957
1979,2,28,-0.382555
1979,3,1,-0.95381165
1979,3,2,-1.1909275
1979,3,3,-0.12772655
1979,3,4,0.8832588
1979,3,5,1.7432699
1979,3,6,2.2323618
1979,3,7,2.2769623
1979,3,8,0.86531734
1979,3,9,0.26295185
1979,3,10,0.5238972
1979,3,11,0.75946045
1979,3,12,0.71554184
1979,3,13,1.6103363
1979,3,14,2.3566532
1979,3,15,2.6719112
1979,3,16,1.960844
1979,3,17,1.9558601
1979,3,18,2.285985
1979,3,19,2.6186304
1979,3,20,2.6043816
1979,3,21,2.5496178
1979,3,22,1.0366287
1979,3,23,-1.1887884
1979,3,24,-1.2676144
1979,3,25,-0.12924862
1979,3,26,0.8050003
1979,3,27,1.7155304
1979,3,28,1.7388649
1979,3,29,2.08957
1979,3,30,3.0115232
1979,3,31,1.8733845
1979,4,1,0.96464825
1979,4,2,2.1118546
1979,4,3,2.7518406
1979,4,4,2.9689312
1979,4,5,1.514494
1979,4,6,1.3133945
1979,4,7,1.0058231
1979,4,8,0.843483
1979,4,9,1.4891529
1979,4,10,1.5328789
1979,4,11,1.4903355
1979,4,12,1.4886723
1979,4,13,2.534729
1979,4,14,3.7371025
1979,4,15,4.7938404
1979,4,16,4.5194435
1979,4,17,2.8492546
1979,4,18,1.49366
1979,4,19,1.8450756
1979,4,20,2.6846867
1979,4,21,1.1645508
1979,4,22,0.97929764
1979,4,23,0.87862206
1979,4,24,-0.5057869
1979,4,25,-1.9760838
1979,4,26,-2.6712055
1979,4,27,-2.3311214
1979,4,28,-1.3898029
1979,4,29,-1.1557331
1979,4,30,-1.245245
1979,5,1,-1.2166805
1979,5,2,-0.24152184
1979,5,3,0.6136837
1979,5,4,0.8555794
1979,5,5,0.6850414
1979,5,6,0.9206867
1979,5,7,0.336771
1979,5,8,1.0713482
1979,5,9,1.7068481
1979,5,10,0.35642624
1979,5,11,-0.86862755
1979,5,12,-1.1869564
1979,5,13,-0.98983
1979,5,14,-0.28873825
1979,5,15,0.6661835
1979,5,16,1.1955967
1979,5,17,1.3272209
1979,5,18,0.903532
1979,5,19,0.59278107
1979,5,20,0.772974
1979,5,21,0.20092392
1979,5,22,-1.5134602
1979,5,23,-0.7033596
1979,5,24,2.075203
1979,5,25,2.9212112
1979,5,26,2.6084633
1979,5,27,2.1677055
1979,5,28,2.2987595
1979,5,29,1.9744682
1979,5,30,3.2519798
1979,5,31,4.838215
1979,6,1,5.954727
1979,6,2,7.094494
1979,6,3,6.433941
1979,6,4,5.0705147
1979,6,5,4.6160583
1979,6,6,4.2424316
1979,6,7,3.7629814
1979,6,8,2.51865
1979,6,9,1.3858376
1979,6,10,2.3118095
1979,6,11,3.073494
1979,6,12,2.5233765
1979,6,13,1.9476471
1979,6,14,2.8386269
1979,6,15,3.5526848
1979,6,16,3.8121948
1979,6,17,5.79916
1979,6,18,6.524536
1979,6,19,5.3223114
1979,6,20,4.486141
1979,6,21,5.5820885
1979,6,22,6.7691307
1979,6,23,7.141323
1979,6,24,6.5042953
1979,6,25,5.99971
1979,6,26,5.120819
1979,6,27,5.209427
1979,6,28,4.023861
1979,6,29,-0.77589417
1979,6,30,-4.086426
1979,7,1,-0.72990036
1979,7,2,1.7715034
1979,7,3,2.832798
1979,7,4,4.7178726
1979,7,5,6.2734985
1979,7,6,7.1138954
1979,7,7,6.2359543
1979,7,8,5.6142044
1979,7,9,5.741928
1979,7,10,4.2809753
1979,7,11,2.3185272
1979,7,12,2.5951767
1979,7,13,2.8826447
1979,7,14,2.570137
1979,7,15,3.968731
1979,7,16,5.5814285
1979,7,17,6.662941
1979,7,18,7.2054977
1979,7,19,6.3297615
1979,7,20,4.924507
1979,7,21,4.670246
1979,7,22,2.941227
1979,7,23,3.1107063
1979,7,24,3.478302
1979,7,25,4.4805145
1979,7,26,5.043396
1979,7,27,4.8329277
1979,7,28,5.037571
1979,7,29,6.846012
1979,7,30,8.039501
1979,7,31,6.7666397
1979,8,1,5.827057
1979,8,2,3.9463844
1979,8,3,2.145565
1979,8,4,1.6085701
1979,8,5,0.03586197
1979,8,6,-0.46969986
1979,8,7,0.9593277
1979,8,8,2.200241
1979,8,9,3.2647705
1979,8,10,2.4572678
1979,8,11,2.3146515
1979,8,12,3.0446396
1979,8,13,4.258274
1979,8,14,4.9969254
1979,8,15,3.1649857
1979,8,16,0.39553833
1979,8,17,0.20137405
1979,8,18,1.7153282
1979,8,19,3.8234901
1979,8,20,5.9305
1979,8,21,5.778446
1979,8,22,5.512886
1979,8,23,5.8821716
1979,8,24,3.5046043
1979,8,25,1.9653053
1979,8,26,4.956875
1979,8,27,6.7316246
1979,8,28,4.3988647
1979,8,29,5.3918076
1979,8,30,6.968807
1979,8,31,5.9723587
1979,9,1,4.5977135
1979,9,2,3.934311
1979,9,3,5.2853622
1979,9,4,4.9924965
1979,9,5,2.724289
1979,9,6,1.3492737
1979,9,7,-0.68271255
1979,9,8,0.47712326
1979,9,9,3.350895
1979,9,10,4.4040413
1979,9,11,2.838726
1979,9,12,4.2396507
1979,9,13,2.9959373
1979,9,14,1.9053192
1979,9,15,5.4249725
1979,9,16,3.8600388
1979,9,17,-0.070487976
1979,9,18,-4.9991226
1979,9,19,-5.891609
1979,9,20,-3.6905327
1979,9,21,-3.3017693
1979,9,22,-6.8355827
1979,9,23,-7.7727585
1979,9,24,-7.1220627
1979,9,25,-3.7719307
1979,9,26,1.0544701
1979,9,27,4.947014
1979,9,28,2.1503716
1979,9,29,-3.6910286
1979,9,30,-4.479851
1979,10,1,-5.5675697
1979,10,2,-6.1309166
1979,10,3,-5.1592026
1979,10,4,-4.635952
1979,10,5,-3.7759056
1979,10,6,-2.0268135
1979,10,7,-1.68573
1979,10,8,-1.9250832
1979,10,9,-0.7028885
1979,10,10,-1.4732666
1979,10,11,-1.8368149
1979,10,12,-1.6107941
1979,10,13,-2.6458588
1979,10,14,-3.1223335
1979,10,15,-4.7186394
1979,10,16,-5.130142
1979,10,17,-5.723095
1979,10,18,-7.4243507
1979,10,19,-7.5205307
1979,10,20,-8.182823
1979,10,21,-10.426521
1979,10,22,-12.098091
1979,10,23,-11.194893
1979,10,24,-9.502356
1979,10,25,-10.429861
1979,10,26,-11.386297
1979,10,27,-10.122166
1979,10,28,-10.450186
1979,10,29,-8.881975
1979,10,30,-8.288031
1979,10,31,-7.254801
1979,11,1,-4.5997505
1979,11,2,-3.8939705
1979,11,3,-4.162567
1979,11,4,-4.7110558
1979,11,5,-4.296833
1979,11,6,-3.392952
1979,11,7,-2.643589
1979,11,8,-2.799715
1979,11,9,-3.4367504
1979,11,10,-2.0410805
1979,11,11,-1.9660187
1979,11,12,-3.2256985
1979,11,13,-2.3406582
1979,11,14,-3.5166855
1979,11,15,-4.876581
1979,11,16,-7.041464
1979,11,17,-9.094698
1979,11,18,-9.696787
1979,11,19,-10.892069
1979,11,20,-12.560558
1979,11,21,-14.054796
1979,11,22,-16.409737
1979,11,23,-18.935568
1979,11,24,-19.623476
1979,11,25,-19.070538
1979,11,26,-18.99344
1979,11,27,-18.557552
1979,11,28,-18.921642
1979,11,29,-18.378347
1979,11,30,-17.460773
1979,12,1,-17.031235
1979,12,2,-16.18319
1979,12,3,-15.190224
1979,12,4,-14.706636
1979,12,5,-14.68646
1979,12,6,-14.042383
1979,12,7,-13.350607
1979,12,8,-12.378698
1979,12,9,-11.920307
1979,12,10,-11.325623
1979,12,11,-10.346566
1979,12,12,-9.969099
1979,12,13,-10.442467
1979,12,14,-10.038989
1979,12,15,-9.058207
1979,12,16,-8.877263
1979,12,17,-8.452193
1979,12,18,-8.198255
1979,12,19,-8.194702
1979,12,20,-7.1777554
1979,12,21,-5.699444
1979,12,22,-4.9430904
