year,month,day,u1060S
1979,1,1,-2.393176
1979,1,2,-2.1616561
1979,1,3,-1.1766757
1979,1,4,-0.61598235
1979,1,5,-1.0386252
1979,1,6,-1.2676177
1979,1,7,-1.2121619
1979,1,8,-1.174001
1979,1,9,-1.618443
1979,1,10,-2.043252
1979,1,11,-2.2504718
1979,1,12,-2.5171924
1979,1,13,-2.355568
1979,1,14,-1.9656615
1979,1,15,-1.9229585
1979,1,16,-1.559401
1979,1,17,-0.7315014
1979,1,18,-0.21500301
1979,1,19,-0.76329494
1979,1,20,-0.57516205
1979,1,21,1.0761824
1979,1,22,2.614625
1979,1,23,2.7601113
1979,1,24,2.2308903
1979,1,25,1.6633093
1979,1,26,1.441833
1979,1,27,1.6465168
1979,1,28,1.446497
1979,1,29,0.7733307
1979,1,30,1.1681342
1979,1,31,1.8550901
1979,2,1,2.0386565
1979,2,2,2.2451
1979,2,3,2.275341
1979,2,4,2.1339555
1979,2,5,1.9518027
1979,2,6,2.0257587
1979,2,7,2.0028815
1979,2,8,0.8103399
1979,2,9,0.17733622
1979,2,10,-0.018014908
1979,2,11,-0.8788152
1979,2,12,-1.4694614
1979,2,13,-1.0561347
1979,2,14,-1.542583
1979,2,15,-1.6961689
1979,2,16,-0.4611187
1979,2,17,-0.4709015
1979,2,18,-0.630393
1979,2,19,-0.21420717
1979,2,20,-0.15409803
1979,2,21,0.0749135
1979,2,22,0.3665824
1979,2,23,1.1152501
1979,2,24,1.7260513
1979,2,25,1.8654747
1979,2,26,0.878191
1979,2,27,-0.22320843
1979,2,28,-0.3374405
1979,3,1,-0.89096737
1979,3,2,-1.1348734
1979,3,3,-0.09993076
1979,3,4,0.8707762
1979,3,5,1.716691
1979,3,6,2.1967535
1979,3,7,2.231762
1979,3,8,0.80586433
1979,3,9,0.22321415
1979,3,10,0.51279163
1979,3,11,0.7553587
1979,3,12,0.7260866
1979,3,13,1.6308289
1979,3,14,2.3650713
1979,3,15,2.6713562
1979,3,16,1.9478178
1979,3,17,1.9375334
1979,3,18,2.2921686
1979,3,19,2.6349459
1979,3,20,2.629425
1979,3,21,2.586667
1979,3,22,1.0794544
