# Module for functions related to deceleration event analysis
# Algorithm used in Wu et al. (2022) to identify wind acceleration and deceleration events
# Level: 10 hPa, Mode: decel
# drop = -2 m/s per day, nxtevnt = 20 days, wdw = 10 days
# Climatology range: 1979-01-01 to 2020-12-31

date,drop_val
1979-09-27,-25.95
1980-09-29,-27.52
1980-10-31,-23.57
1981-09-16,-22.72
1981-11-11,-25.36
1982-10-01,-30.04
1983-09-23,-29.33
1983-10-25,-33.23
1984-10-03,-27.19
1984-10-25,-28.09
1985-09-05,-24.62
1985-09-27,-31.60
1985-10-26,-26.04
1986-09-14,-21.13
1986-10-24,-28.03
1987-10-03,-26.54
1987-11-16,-24.11
1988-08-23,-34.62
1988-09-19,-39.18
1988-10-22,-27.53
1989-10-03,-27.32
1989-10-29,-20.19
1990-08-24,-23.32
1990-09-19,-46.03
1991-08-27,-28.84
1991-09-30,-21.47
1991-10-21,-20.12
1992-09-26,-30.06
1993-08-13,-23.50
1993-10-12,-29.30
1994-09-07,-30.58
1994-10-02,-24.05
1994-10-29,-24.23
1995-09-05,-26.42
1995-10-04,-32.37
1995-11-02,-20.26
1997-10-28,-42.07
1998-10-20,-22.44
1999-09-17,-20.47
1999-10-26,-26.05
2000-09-22,-28.24
2001-10-13,-25.56
2002-09-18,-77.20
2003-10-02,-32.57
2004-09-22,-25.83
2004-11-09,-27.63
2005-09-29,-34.54
2005-11-03,-24.86
2006-09-16,-26.87
2006-10-09,-28.09
2007-09-11,-39.95
2007-10-01,-20.51
2008-10-08,-27.11
2009-10-05,-28.55
2009-11-08,-23.63
2010-10-18,-22.51
2011-11-07,-22.46
2012-08-11,-22.92
2012-09-30,-29.38
2013-10-10,-30.12
2014-09-07,-32.71
2014-10-02,-36.29
2016-08-18,-22.83
2016-09-15,-22.39
2016-10-11,-20.48
2017-09-04,-28.81
2017-10-22,-23.56
2018-09-29,-25.30
2018-10-31,-26.92
2019-08-25,-31.78
2020-10-07,-22.39
2020-10-28,-21.34
