# Data: ERA5 1979-2023
# Definition: accumulated weighted (tau = 60 d) FZ100 > 36 WDU
# Search between day 120 and day 364.
# Events are the same if occurring within 20 days.
# Reference: Reichler and Jucker 2022 (WCD)
year,month,day
1979,10,7.0
1984,7,2.0
1986,8,8.0
1988,8,28.0
1988,10,28.0
1991,11,2.0
1992,6,2.0
1992,10,6.0
1993,8,21.0
1994,10,18.0
1994,11,28.0
1996,8,6.0
1997,8,17.0
2000,10,25.0
2002,7,8.0
2002,9,26.0
2005,11,11.0
2007,7,6.0
2010,7,26.0
2012,10,14.0
2013,10,16.0
2014,10,8.0
2016,9,7.0
2016,10,18.0
2016,11,22.0
2017,8,24.0
2019,9,14.0
