year,STMI,mask
1979,0.8373474591104467,weak
1980,-0.2407175985535774,neutral
1981,-0.5762137234450561,neutral
1982,0.5748317307358954,neutral
1983,-0.3494603499653401,neutral
1984,0.4730826757949774,neutral
1985,-0.3796707371168416,neutral
1986,0.3347002928044672,neutral
1987,-1.5162257375747723,strong
1988,1.4417330686599132,weak
1989,-0.6192311933740079,neutral
1990,-0.5887562071646926,neutral
1991,0.7185763973781631,neutral
1992,0.6918688652254735,neutral
1993,-0.36044662222737,neutral
1994,0.4760329688556929,neutral
1995,-0.6171321272697048,neutral
1996,0.04726225818368378,neutral
1997,0.15598254641065062,neutral
1998,-0.9324752972044026,strong
1999,-1.1017590034072593,strong
2000,0.9707183474017712,weak
2001,-1.2241936330900702,strong
2002,2.364849572255139,weak
2003,0.41590305153227186,neutral
2004,0.7246101723610985,neutral
2005,0.9667470402257494,weak
2006,-0.8022055568997709,strong
2007,0.5114493884436564,neutral
2008,-0.7048162816720731,neutral
2009,0.024647479863550453,neutral
2010,-0.8273729458753388,strong
2011,-0.8733396235777687,strong
2012,1.2709093398674056,weak
2013,1.2051872388791371,weak
2014,0.3635100564825684,neutral
2015,-1.6341747545185783,strong
2016,0.953510093261747,weak
2017,0.6603533900243169,neutral
2018,-0.820436332498486,strong
2019,2.444568743329629,weak
2020,-1.4077930014770157,strong
2021,-1.5841586892527806,strong
2022,-1.4678027533857794,strong
