# data: era5 1979-2020, daily means from 00,06,12,18 UTC instantaneous.
# definition: U_tendency < -35 at 10 hPa and -60S. At least 10 days of positive U_full required after SSW date to separate from the final warming.
# two events are the same if occurring within 20 days.
# U_tendency defined as the U_full difference between +/-7 days from the current day.
year,month,day
1980,10,03
1982,10,02
1983,10,26
1984,09,29
1990,09,22
1992,09,25
1993,10,18
1997,10,29
2000,09,30
2002,08,17
2003,09,29
2004,09,12
2005,10,07
2006,10,15
2007,09,13
2008,10,07
2009,09,27
2012,10,04
2013,10,15
2014,10,09
2017,09,07
2019,09,01
